City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Buriti Bravo,BR,2022-05-14 08:24:21,-5.8372,-43.8336,70.7,97,99,2.46
124,Belmonte,BR,2022-05-14 08:24:21,-15.8631,-38.8828,73.36,90,100,6.46
125,Prigorodnyy,RU,2022-05-14 08:24:22,51.7661,55.2665,62.76,48,75,6.71
126,Butaritari,KI,2022-05-14 08:24:22,3.0707,172.7902,80.83,73,46,4.32
127,Haines Junction,CA,2022-05-14 08:24:23,60.7522,-137.5108,24.75,68,93,2.3
128,Naze,JP,2022-05-14 08:24:23,28.3667,129.4833,70.72,80,100,9.98
129,Neryungri,RU,2022-05-14 08:24:24,56.6709,124.6491,34.16,80,32,16.98
130,Kodiak,US,2022-05-14 08:24:24,57.79,-152.4072,44.11,49,100,14.97
131,Imeni Poliny Osipenko,RU,2022-05-14 08:24:25,52.4201,136.4853,55.87,43,31,11.9
132,Palpa,PE,2022-05-14 08:24:25,-14.5336,-75.1856,64.98,73,0,2.08
133,Zhaoqing,CN,2022-05-14 08:24:26,23.0512,112.4597,80.51,77,100,3.42
134,Souillac,MU,2022-05-14 08:24:26,-20.5167,57.5167,79.18,57,40,6.91
135,Godda,IN,2022-05-14 08:22:26,24.8333,87.2167,112.55,12,4,12.37
136,Tobolsk,RU,2022-05-14 08:24:27,58.2,68.2667,59.45,62,99,12.8
137,Saldanha,ZA,2022-05-14 08:24:27,-33.0117,17.9442,60.85,72,15,6.62
138,Brae,GB,2022-05-14 08:24:28,60.3964,-1.353,47.55,91,100,8.88
139,Dikson,RU,2022-05-14 08:24:28,73.5069,80.5464,32.58,98,100,15.14
140,Noyabrsk,RU,2022-05-14 08:24:29,63.1994,75.4507,66.69,45,94,13.91
141,Volot,RU,2022-05-14 08:24:29,57.9278,30.7025,55.27,53,19,10.07
142,Fort William,GB,2022-05-14 08:24:29,56.8165,-5.1121,53.31,86,100,6.78
143,Torbay,CA,2022-05-14 08:24:30,47.6666,-52.7314,39.76,92,100,4.61
144,Altagracia De Orituco,VE,2022-05-14 08:24:30,9.8601,-66.3814,74.68,82,98,4.23
145,Dejen,ET,2022-05-14 08:24:31,10.1667,38.1333,75.87,22,61,8.32
146,Cilegon,ID,2022-05-14 08:24:31,-6.0174,106.0538,86.59,64,100,6.46
147,Liberal,US,2022-05-14 08:24:32,37.0431,-100.921,60.94,77,0,11.5
148,Mahebourg,MU,2022-05-14 08:24:32,-20.4081,57.7,81.25,57,40,6.91
149,Sotnikovskoye,RU,2022-05-14 08:24:32,45.0039,43.7772,72.95,42,0,2.95
150,Martapura,ID,2022-05-14 08:24:33,-3.4167,114.85,82.49,83,20,3.44
151,Predivinsk,RU,2022-05-14 08:21:22,57.0669,93.4378,78.96,16,0,4.9
152,Gunjur,GM,2022-05-14 08:24:33,13.2019,-16.7339,73.47,88,20,5.75
153,Cabo San Lucas,MX,2022-05-14 08:24:34,22.8909,-109.9124,77.5,63,100,6.85
154,Yellowknife,CA,2022-05-14 08:24:34,62.456,-114.3525,43.32,65,20,10.36
155,Flinders,AU,2022-05-14 08:24:35,-34.5833,150.8552,72.18,88,91,5.01
156,Gravdal,NO,2022-05-14 08:24:35,68.1214,13.5031,42.84,85,100,20.18
157,Pangnirtung,CA,2022-05-14 08:24:35,66.1451,-65.7125,6.91,80,10,6.78
158,Richards Bay,ZA,2022-05-14 08:24:36,-28.783,32.0377,69.71,80,100,6.44
159,Marrakesh,MA,2022-05-14 08:24:36,31.6315,-8.0083,73.47,56,0,2.3
160,Iqaluit,CA,2022-05-14 08:24:37,63.7506,-68.5145,11.93,73,20,11.5
161,Synya,RU,2022-05-14 08:24:37,65.3718,58.0387,62.69,50,45,4.92
162,Bibiani,GH,2022-05-14 08:24:37,6.4635,-2.3194,73.92,98,100,2.89
