City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Flin Flon,CA,54.7682,-101.865,33.04,95,100,11.03,overcast clouds
194,Fortuna,US,40.5982,-124.1573,59.94,89,100,6.91,overcast clouds
195,Kumphawapi,TH,17.1087,103.0149,89.89,84,55,7.02,broken clouds
196,Cabo San Lucas,MX,22.8909,-109.9124,83.61,55,100,10.04,overcast clouds
197,Vila Velha,BR,-20.3297,-40.2925,73.35,88,75,4.61,broken clouds
198,Tervel,BG,43.75,27.4,61.23,95,100,8.95,overcast clouds
199,Weihe,CN,32.9952,105.3247,57.07,60,100,1.36,light rain
200,Betulia,CO,6.1128,-75.9838,63.37,97,100,2.89,overcast clouds
201,Baykalsk,RU,51.5058,104.1469,57.9,39,15,1.05,few clouds
202,Cherskiy,RU,68.75,161.3,27.66,76,98,17.65,overcast clouds
203,Hoganas,SE,56.1997,12.558,51.06,78,88,15.99,overcast clouds
204,Verkhnevilyuysk,RU,63.4453,120.3167,44.37,43,30,3.24,scattered clouds
205,Aklavik,CA,68.2191,-135.0107,29.97,70,100,3.96,overcast clouds
206,Charters Towers,AU,-20.1,146.2667,79.07,40,2,5.08,clear sky
207,Lavrentiya,RU,65.5833,-171.0,32.29,99,100,3.15,snow
208,Sorland,NO,67.667,12.6934,42.66,86,84,25.59,broken clouds
209,Tiarei,PF,-17.5333,-149.3333,84.22,71,5,10.07,clear sky
210,Kamina,CD,-8.7386,24.9906,59.92,71,0,4.34,clear sky
211,Kununurra,AU,-15.7667,128.7333,91.38,46,0,6.91,clear sky
212,Thompson,CA,55.7435,-97.8558,42.96,93,100,3.44,mist
213,Rawson,AR,-43.3002,-65.1023,49.53,47,0,21.07,clear sky
214,Shirokiy,RU,49.758,129.523,43.29,67,69,20.51,broken clouds
215,Mumbwa,ZM,-14.9783,27.0619,55.15,71,0,4.88,clear sky
216,Kieta,PG,-6.2167,155.6333,83.62,72,67,4.14,light rain
217,Haines Junction,CA,60.7522,-137.5108,35.55,93,100,5.75,overcast clouds
218,Alaca,TR,40.1683,34.8425,54.59,68,92,2.06,overcast clouds
219,Port Hardy,CA,50.6996,-127.4199,50.18,81,100,18.41,overcast clouds
220,Saint-Martin-Boulogne,FR,50.7269,1.6186,54.72,85,84,8.72,broken clouds
221,Wala,CM,4.578,12.3154,68.13,99,92,0.54,overcast clouds
222,Satka,RU,55.0425,59.04,51.71,67,95,6.91,overcast clouds
223,Zwedru,LR,6.0667,-8.1281,72.21,99,95,2.13,light rain
224,Alta Floresta,BR,-9.8756,-56.0861,75.72,75,98,1.81,overcast clouds
225,Sumbe,AO,-11.2061,13.8437,74.57,89,88,2.86,overcast clouds
226,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,25.32,few clouds
227,Pecos,US,31.4229,-103.4932,90.43,7,0,4.61,clear sky
228,Kudahuvadhoo,MV,2.6708,72.8944,83.32,75,91,15.73,overcast clouds
229,Meulaboh,ID,4.1363,96.1285,78.53,91,100,5.03,overcast clouds
