City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
315,North Bend,US,60.71,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
316,Benguela,AO,72.63,clear sky,-12.5763,13.4055,Hotel Praia Morena
318,Lompoc,US,75.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
319,Loreto,MX,71.65,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
321,Labrea,BR,74.16,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
322,Tuni,IN,88.34,scattered clouds,17.35,82.55,Sai Krishna Lodge
323,Sarkand,KZ,60.08,light rain,45.41,79.9186,Гостиница Сарканд
325,Karaton,ID,87.33,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
326,Jacqueville,CI,80.26,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
328,Sakaraha,MG,62.89,clear sky,-22.9,44.5333,Le Relais
331,Laguna,US,89.89,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
333,Tautira,PF,80.58,few clouds,-17.7333,-149.15,Pension Oaoa
334,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
335,Hirado,JP,68.4,light rain,33.3597,129.5531,Samson Hotel
339,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
340,Tura,IN,78.37,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
342,Yarmouth,US,65.64,mist,41.7057,-70.2286,Blue Rock Resort
343,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
345,Boffa,GN,79.5,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
346,Mayo,US,67.35,mist,38.8876,-76.5119,Resorts Resource Group International
347,Kourou,GF,81.1,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
348,Grants Pass,US,72.91,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
349,Marion,US,66.58,broken clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
350,Fukue,JP,66.56,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
351,Edgewater,US,77.0,scattered clouds,28.9889,-80.9023,Islander Beach Resort
354,Atambua,ID,82.98,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
355,Highland Springs,US,66.33,broken clouds,37.546,-77.3278,Homewood Suites by Hilton Richmond - Airport
359,Prabumulih,ID,86.68,scattered clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
360,Peniche,PT,64.08,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
362,Oriximina,BR,74.95,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
365,Savannah Bight,HN,81.19,clear sky,16.45,-85.85,Villa on Dunbar Rock
366,Maryborough,AU,81.16,clear sky,-25.5333,152.7,Blue Shades Motel
369,Florianopolis,BR,67.69,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
372,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
373,Tomigusuku,JP,72.14,broken clouds,26.185,127.675,Hotel Gran View Okinawa
374,Fairview,US,65.12,mist,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
375,Port Loko,SL,78.46,overcast clouds,8.7667,-12.7833,MJ Motel
376,Bengkulu,ID,84.83,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
377,Port Lavaca,US,80.58,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
378,Bud,US,66.31,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
379,Kismayo,SO,79.09,light rain,-0.3582,42.5454,Agan-Hotel
384,Kimbe,PG,87.35,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
385,La Tuque,CA,73.65,few clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
387,Mabaruma,GY,74.93,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
389,Methoni,GR,64.22,scattered clouds,36.8197,21.7049,Methoni Beach Hotel
390,La Asuncion,VE,78.58,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
393,Coruripe,BR,76.15,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
394,Nago,JP,72.45,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
396,Redmond,US,62.71,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
397,Hit,IQ,77.29,overcast clouds,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
405,Chifeng,CN,65.3,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
406,Kanniyakumari,IN,81.19,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
408,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
409,Petropavlovka,RU,68.65,clear sky,50.6114,105.3196,Tuyaa
410,Huarmey,PE,63.79,scattered clouds,-10.0681,-78.1522,Hotel Miramar
411,Lorengau,PG,85.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
412,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
413,Turukhansk,RU,60.73,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
416,Belyy Yar,RU,67.86,clear sky,53.6039,91.3903,Pasportnyy Stol
419,Tabatinga,BR,75.29,light rain,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
422,Matara,LK,80.33,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
423,Darnah,LY,64.27,clear sky,32.767,22.6367,فندق الفردوس
424,Loikaw,MM,84.72,few clouds,19.6742,97.2094,Myat Nan Taw Hotel
427,Sola,VU,79.75,overcast clouds,-13.8833,167.55,Leumerus Bungalows
429,Omboue,GA,77.5,overcast clouds,-1.5746,9.2618,Hotel Olako
431,Alice Springs,AU,72.95,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
433,Motygino,RU,70.45,broken clouds,58.1831,94.7592,"Gostinitsa ""Uyut"""
434,Narasingapuram,IN,83.08,overcast clouds,13.6167,79.3333,Hotel PLR Kandy
436,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
437,Inirida,CO,74.21,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
440,Pisco,PE,64.45,mist,-13.7,-76.2167,Hotel San Isidro Oficial
441,Port Lincoln,AU,65.75,few clouds,-34.7333,135.8667,Port Lincoln Hotel
442,Cabo Rojo,PR,78.67,overcast clouds,18.0866,-67.1457,Hotel Perichi's
443,Patiya,BD,85.95,broken clouds,22.2931,91.9762,অধ্যক্ষ ইকবাল মোজাদ্দেদী সাহেব এর বাড়ি
444,Freetown,SL,80.15,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
445,Kirakira,SB,82.71,broken clouds,-10.4544,161.9205,SanBiz Lodge
446,Mizdah,LY,63.99,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
447,Aksu,CN,69.33,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
448,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
450,Kaduqli,SD,85.78,overcast clouds,11.0167,29.7167,Nussyba
451,Tabas,IR,68.22,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
452,Jalu,LY,66.65,clear sky,29.0331,21.5482,صاحبة الفخامة
460,Nishihara,JP,71.65,mist,26.1842,127.7558,Minshuku Agaihama
462,Codrington,AU,66.97,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
464,Eureka,US,61.2,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
465,Francistown,BW,60.21,clear sky,-21.17,27.5079,Budget House
466,Manadhoo,MV,83.73,light rain,5.7667,73.3833,Bon Abri maldives
467,Muroto,JP,66.31,light rain,33.2833,134.15,Oota Ryokan
468,Celestun,MX,77.02,clear sky,20.8667,-90.4,Posada Lilia
469,Mawlaik,MM,80.06,overcast clouds,23.6333,94.4167,AKZ Guest House
471,Ishigaki,JP,75.33,light intensity shower rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
472,Banda Aceh,ID,85.46,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
473,Puerto Narino,CO,73.83,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
474,Broken Hill,AU,70.0,clear sky,-31.95,141.4333,Royal Exchange Hotel
476,Pafos,CY,65.98,scattered clouds,34.7667,32.4167,Elysium Hotel
479,Byron Bay,AU,74.71,broken clouds,-28.65,153.6167,Backpackers Inn
483,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
484,Severo-Yeniseyskiy,RU,63.93,broken clouds,60.3725,93.0408,Aktolik
485,Batemans Bay,AU,65.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
486,Westport,US,66.6,overcast clouds,41.1415,-73.3579,The Westport Inn
489,Sai Buri,TH,87.51,broken clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
491,Kavaratti,IN,80.64,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
492,Axim,GH,79.25,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
493,Missungwi,TZ,68.68,overcast clouds,-2.85,33.0833,Sundi Bar and Lodge
495,Casa Nova,BR,77.16,overcast clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
496,Jiuquan,CN,61.9,clear sky,39.7432,98.5174,Jiuquan Hotel
497,Roma,US,69.94,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
499,Noumea,NC,82.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
500,Pocone,BR,76.21,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
502,Sao Joao Da Barra,BR,72.93,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
504,Carutapera,BR,76.91,light rain,-1.195,-46.02,Lidera
505,Muli,MV,83.26,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
508,Jumla,NP,67.3,clear sky,29.2747,82.1838,Royal Garden Hotel
509,Maceio,BR,72.84,mist,-9.6658,-35.7353,Hotel Ponta Verde Maceió
511,Menomonie,US,66.24,clear sky,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
512,Manokwari,ID,83.46,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
513,Tukrah,LY,62.71,clear sky,32.5341,20.5791,Lagrota restaurant
514,Agbor,NG,72.01,broken clouds,6.2518,6.1934,MIRAMAS HOTEL
515,Duluth,US,63.18,clear sky,46.7833,-92.1066,South Pier Inn
517,Tepalcatepec,MX,82.27,overcast clouds,19.1833,-102.85,Maria De Jesus
522,Sukabumi,ID,80.06,overcast clouds,-6.9181,106.9267,The Bountie Hotels and Convention Center Sukabumi
523,Kuytun,RU,70.57,few clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
525,Mazagao,BR,80.65,light rain,-0.115,-51.2894,Recanto dos Ferreiras
526,Pontian Kecil,MY,88.12,scattered clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
527,Tamandare,BR,77.77,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
528,Ferrol,ES,64.92,overcast clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
